episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
nan,nan,nan,nan,0,2,96000,False,0,24,2d7076972e12487ea9399a5c24369cea,2020-12-17_01-08-56,1608138536,7.711949825286865,168.7395749092102,14512,Rishabhs-MBP,192.168.1.138,168.7395749092102,0,24,[],[],3500.573,1142.67,2.096,1908605.622,3360.607,1190.261,3.03,96000,96000,75.10909090909091,79.03636363636363,0.30000001192092896,4.999999873689376e-05,0.37054634,-0.0115603255,0.3793672,0.024305485,0.009131421,1.4756724,0.0
nan,nan,nan,nan,0,2,100000,False,0,25,2d7076972e12487ea9399a5c24369cea,2020-12-17_01-09-03,1608138543,7.0157151222229,175.7552900314331,14512,Rishabhs-MBP,192.168.1.138,175.7552900314331,0,25,[],[],3495.081,1144.466,2.12,1886818.867,3412.338,1172.217,2.991,100000,100000,73.10999999999999,77.45,0.30000001192092896,4.999999873689376e-05,0.4659966,-0.0075960904,0.47101235,0.0026691516,0.008601097,1.4597688,0.0
nan,nan,nan,nan,0,2,104000,False,0,26,2d7076972e12487ea9399a5c24369cea,2020-12-17_01-09-11,1608138551,7.665971994400024,183.42126202583313,14512,Rishabhs-MBP,192.168.1.138,183.42126202583313,0,26,[],[],3505.785,1140.971,2.127,1880685.14,3491.125,1145.763,3.122,104000,104000,74.15454545454546,78.19090909090909,0.30000001192092896,4.999999873689376e-05,0.40360633,-0.011741663,0.4119302,0.0030734232,0.0113925245,1.4098359,0.0
nan,nan,nan,nan,0,2,108000,False,0,27,2d7076972e12487ea9399a5c24369cea,2020-12-17_01-09-17,1608138557,6.504880905151367,189.9261429309845,14512,Rishabhs-MBP,192.168.1.138,189.9261429309845,0,27,[],[],3517.597,1137.14,2.135,1873105.204,3443.854,1161.489,3.278,108000,108000,71.26666666666667,78.07777777777777,0.30000001192092896,4.999999873689376e-05,0.21199165,-0.013126025,0.22198866,0.010646208,0.010430031,1.3678026,0.0
nan,nan,nan,nan,0,2,112000,False,0,28,2d7076972e12487ea9399a5c24369cea,2020-12-17_01-09-24,1608138564,6.5825629234313965,196.5087058544159,14512,Rishabhs-MBP,192.168.1.138,196.5087058544159,0,28,[],[],3520.371,1136.244,2.189,1827663.079,3436.249,1164.06,3.214,112000,112000,72.4,77.71,0.30000001192092896,4.999999873689376e-05,0.14471069,-0.009109701,0.15128642,0.0019225959,0.008446567,1.3894916,0.0
nan,nan,nan,nan,0,2,116000,False,0,29,2d7076972e12487ea9399a5c24369cea,2020-12-17_01-09-31,1608138571,6.852632999420166,203.36133885383606,14512,Rishabhs-MBP,192.168.1.138,203.36133885383606,0,29,[],[],3540.883,1129.662,2.251,1776927.46,3441.41,1162.314,3.306,116000,116000,72.1888888888889,78.78888888888889,0.30000001192092896,4.999999873689376e-05,0.20160507,-0.009478922,0.20848112,0.0023206933,0.00867636,1.352729,0.0
nan,nan,nan,nan,0,2,120000,False,0,30,2d7076972e12487ea9399a5c24369cea,2020-12-17_01-09-37,1608138577,6.526973009109497,209.88831186294556,14512,Rishabhs-MBP,192.168.1.138,209.88831186294556,0,30,[],[],3543.75,1128.748,2.224,1798393.826,3421.23,1169.17,3.287,120000,120000,72.95000000000002,79.16,0.30000001192092896,4.999999873689376e-05,0.15160836,-0.009469609,0.15846264,0.06059151,0.008717669,1.334849,0.0
nan,nan,nan,nan,0,2,124000,False,0,31,2d7076972e12487ea9399a5c24369cea,2020-12-17_01-09-44,1608138584,6.588802099227905,216.47711396217346,14512,Rishabhs-MBP,192.168.1.138,216.47711396217346,0,31,[],[],3565.841,1121.755,2.247,1780378.207,3466.26,1153.981,3.35,124000,124000,72.63333333333334,79.22222222222223,0.30000001192092896,4.999999873689376e-05,0.13568823,-0.012663778,0.14426593,0.012082667,0.013620323,1.2883246,0.0
nan,nan,nan,nan,0,2,128000,False,0,32,2d7076972e12487ea9399a5c24369cea,2020-12-17_01-09-50,1608138590,6.59669303894043,223.0738070011139,14512,Rishabhs-MBP,192.168.1.138,223.0738070011139,0,32,[],[],3587.843,1114.876,2.186,1829815.897,3456.348,1157.291,3.291,128000,128000,72.88888888888889,79.24444444444445,0.30000001192092896,4.999999873689376e-05,0.05666463,-0.012550307,0.06634323,-0.0016403025,0.009572351,1.2864637,0.0
nan,nan,nan,nan,0,2,132000,False,0,33,2d7076972e12487ea9399a5c24369cea,2020-12-17_01-10-00,1608138600,9.241338729858398,232.3151457309723,14512,Rishabhs-MBP,192.168.1.138,232.3151457309723,0,33,[],[],3561.729,1123.05,2.27,1762275.582,3553.337,1125.702,3.146,132000,132000,74.29285714285713,79.63571428571427,0.30000001192092896,4.999999873689376e-05,0.063833155,-0.010655005,0.07193377,0.0033544938,0.008514623,1.33601,0.0
nan,nan,nan,nan,0,2,136000,False,0,34,2d7076972e12487ea9399a5c24369cea,2020-12-17_01-10-08,1608138608,8.699735164642334,241.01488089561462,14512,Rishabhs-MBP,192.168.1.138,241.01488089561462,0,34,[],[],3588.79,1114.582,1.992,2008045.003,3623.569,1103.884,4.155,136000,136000,75.34166666666667,79.94166666666668,0.30000001192092896,4.999999873689376e-05,0.035988025,-0.010651999,0.042117834,0.01209793,0.015073973,1.2646723,0.0
nan,nan,nan,nan,0,2,140000,False,0,35,2d7076972e12487ea9399a5c24369cea,2020-12-17_01-10-16,1608138616,7.8002471923828125,248.81512808799744,14512,Rishabhs-MBP,192.168.1.138,248.81512808799744,0,35,[],[],3645.863,1097.134,2.003,1997382.733,3644.882,1097.429,4.17,140000,140000,76.25454545454546,79.67272727272729,0.30000001192092896,4.999999873689376e-05,0.11442228,-0.004644243,0.117135994,-0.00011112229,0.0064350963,1.2444065,0.0
nan,nan,nan,nan,0,2,144000,False,0,36,2d7076972e12487ea9399a5c24369cea,2020-12-17_01-10-23,1608138623,7.132494211196899,255.94762229919434,14512,Rishabhs-MBP,192.168.1.138,255.94762229919434,0,36,[],[],3649.222,1096.124,1.997,2002867.034,3588.554,1114.655,4.013,144000,144000,73.18999999999998,79.16,0.30000001192092896,4.999999873689376e-05,0.09503443,-0.010292739,0.102692075,0.0008377529,0.008783664,1.2289047,0.0
nan,nan,nan,nan,0,2,148000,False,0,37,2d7076972e12487ea9399a5c24369cea,2020-12-17_01-10-30,1608138630,6.892590045928955,262.8402123451233,14512,Rishabhs-MBP,192.168.1.138,262.8402123451233,0,37,[],[],3674.998,1088.436,2.085,1918536.273,3601.603,1110.617,3.895,148000,148000,73.10999999999999,77.83,0.30000001192092896,4.999999873689376e-05,0.15366577,-0.01055166,0.16112486,0.00016348208,0.010308606,1.2356408,0.0
nan,nan,nan,nan,0,2,152000,False,0,38,2d7076972e12487ea9399a5c24369cea,2020-12-17_01-10-37,1608138637,7.03376579284668,269.87397813796997,14512,Rishabhs-MBP,192.168.1.138,269.87397813796997,0,38,[],[],3692.263,1083.347,2.042,1959108.329,3629.218,1102.166,3.975,152000,152000,73.17999999999999,78.06,0.30000001192092896,4.999999873689376e-05,0.009886595,-0.0031741243,0.010631218,0.008867481,0.008098329,1.2749566,0.0
